Filename,Percentage
45-vars/problem__033.smt2,79.12%
45-vars/problem_2__021.smt2,78.25%
45-vars/problem__030.smt2,78.69%
45-vars/problem__007.smt2,76.77%
45-vars/problem__018.smt2,77.78%
45-vars/problem_2__011.smt2,77.28%
45-vars/problem_2__034.smt2,79.12%
45-vars/problem__028.smt2,78.69%
slacks/20-19.slack.smt2,94.81%
slacks/25-17.slack.smt2,95.31%
slacks/15-7.slack.smt2,92.51%
slacks/15-13.slack.smt2,92.97%
slacks/45-26.slack.smt2,96.40%
slacks/10-13.slack.smt2,92.15%
slacks/35-25.slack.smt2,96.40%
slacks/30-10.slack.smt2,95.41%
slacks/40-14.slack.smt2,96.37%
slacks/40-9.slack.smt2,96.33%
slacks/35-5.slack.smt2,95.82%
slacks/45-14.slack.smt2,96.70%
slacks/15-5.slack.smt2,92.15%
slacks/45-24.slack.smt2,96.81%
slacks/45-34.slack.smt2,96.48%
20-vars/v20_problem_2__016.smt2.slack.smt2,95.84%
20-vars/v20_problem_2__018.smt2.slack.smt2,94.62%
20-vars/v20_problem__028.smt2.slack.smt2,0.00%
20-vars/v20_problem__004.smt2.slack.smt2,93.78%
20-vars/v20_problem_2__035.smt2.slack.smt2,95.29%
20-vars/v20_problem__001.smt2.slack.smt2,93.83%
20-vars/v20_problem__020.smt2.slack.smt2,94.59%
20-vars/v20_problem__030.smt2.slack.smt2,95.08%
20-vars/v20_problem_2__012.smt2.slack.smt2,94.83%
20-vars/v20_problem__011.smt2.slack.smt2,94.48%
20-vars/v20_problem_2__013.smt2.slack.smt2,95.58%
20-vars/v20_problem_2__005.smt2.slack.smt2,93.30%
20-vars/v20_problem__010.smt2.slack.smt2,94.27%
20-vars/v20_problem__021.smt2.slack.smt2,93.97%
20-vars/v20_problem__002.smt2.slack.smt2,95.08%
40-vars/v40_problem_2__023.smt2.slack.smt2,96.62%
40-vars/v40_problem__024.smt2.slack.smt2,96.57%
40-vars/v40_problem__004.smt2.slack.smt2,96.14%
40-vars/v40_problem_2__034.smt2.slack.smt2,96.74%
40-vars/v40_problem__008.smt2.slack.smt2,96.36%
40-vars/v40_problem_2__018.smt2.slack.smt2,96.40%
40-vars/v40_problem_2__017.smt2.slack.smt2,96.59%
